"Tendances","Volume de recherche","Démarrée","Terminé","Composition de la tendance","Lien d'exploration"
"patrick bruel","500 k+","8 juin 2026 à 09:40:00 UTC+2",,"patrick bruel,bruel,bruel patrick,bruel prison,jacques weber,léon bruel,léon hesby,leon hesby,pétition,et,bruel garde a vue","https://trends.google.com/trends/explore?q=patrick%20bruel&geo=FR&hl=fr"
"portugal – nigeria","50 k+","10 juin 2026 à 20:50:00 UTC+2",,"portugal – nigeria,portugal nigeria,portugal vs nigeria,portugal nigeria streaming","https://trends.google.com/trends/explore?q=portugal%20%E2%80%93%20nigeria&geo=FR&hl=fr"
"test cedric credit agricole notification","200 k+","9 juin 2026 à 18:30:00 UTC+2",,"test cedric credit agricole notification,test cedric,banque,cedric credit agricole,test cedric credit agricole,notification test cedric credit agricole,credit agricole,credit agricole test cedric,crédit agricole,test cedric banque,test cédric,test cedric crédit agricole,test cédric crédit agricole,crédit agricole test cedric,ma banque,bug credit agricole,ma banque test cedric,notification credit agricole test cedric,test cedric ma banque,probleme credit agricole,piratage credit agricole,crédit agricole test cédric,credit agricole bug,credit agricole notification test cedric,panne crédit agricole,test cedric ca,test cédric credit agricole,banque credit agricole,ma banque crédit agricole,credit agricole probleme","https://trends.google.com/trends/explore?q=test%20cedric%20credit%20agricole%20notification&geo=FR&hl=fr"
"michael olise","1 M+","8 juin 2026 à 21:20:00 UTC+2",,"michael olise,france irlande,france irlande du nord,olise,france – irlande du nord,france – irlande,france foot,manu koné,match france,france,equipe de france,tf1,france match,match france irlande du nord,foot france,france irlande score,irlande du nord,foot france irlande,olise michael,match france ce soir,équipe de france,resultat france irlande,match equipe de france,france irlande du nord chaine,edf foot,didier deschamps,irlande du nord foot,stade pierre mauroy,equipe de france foot,ousmane dembélé,match coupe du monde 2026,rabiot,resume france irlande du nord,irlande,malo gusto,france irlande du nord stade,irlande du nord coupe du monde,match france coupe du monde 2026,france vs irlande du nord,maillot equipe de france 2026,resume france irlande,équipe de france de football – équipe d'irlande du nord de football : composition,france irlande resultat,france football,upamecano,france irlande foot masculin,france irlande du nord foot,équipe d'irlande du nord de football,compo france irlande du nord,coupe du monde,score france irlande,france irlande homme,match coupe du monde,chaine france irlande,varane,france – irlande du nord chaine,manu kone,resultat match france,deschamps,france foot match,france irlande chaine,maillot france 2026,france – irlande du nord lieu,résumé france irlande du nord,pierre mauroy stade,compo equipe de france,pierre mauroy,irlande france,composition equipe de france,saliba,maillot france,raphaël varane,trai hume,ou se joue le match france irlande,score france","https://trends.google.com/trends/explore?q=michael%20olise&geo=FR&hl=fr"
"portugal foot","50 k+","10 juin 2026 à 21:10:00 UTC+2",,"portugal foot,portugal nigeria chaine,match portugal,portugal,match coupe du monde 2026,portugal - nigéria,portugal match,match coupe du monde,l'équipe live,l'equipe live foot,l'équipe live foot,nigeria portugal,portugal nigeria quelle chaine,chaine portugal nigeria,equipe live foot,nigeria foot,nigeria","https://trends.google.com/trends/explore?q=portugal%20foot&geo=FR&hl=fr"
"laure miller","50 k+","9 juin 2026 à 20:30:00 UTC+2",,"laure miller,décret,laure miller deputee","https://trends.google.com/trends/explore?q=laure%20miller&geo=FR&hl=fr"
"gilles verdez","20 k+","10 juin 2026 à 20:40:00 UTC+2",,"gilles verdez,cyril hanouna","https://trends.google.com/trends/explore?q=gilles%20verdez&geo=FR&hl=fr"
"jérôme barella","20 k+","10 juin 2026 à 12:40:00 UTC+2",,"jérôme barella,france info","https://trends.google.com/trends/explore?q=j%C3%A9r%C3%B4me%20barella&geo=FR&hl=fr"
"justine braisaz-bouchet","10 k+","10 juin 2026 à 13:40:00 UTC+2",,"justine braisaz-bouchet","https://trends.google.com/trends/explore?q=justine%20braisaz-bouchet&geo=FR&hl=fr"
"belfast","20 k+","9 juin 2026 à 22:20:00 UTC+2",,"belfast","https://trends.google.com/trends/explore?q=belfast&geo=FR&hl=fr"
"euromillions mardi 9 juin 2026","200 k+","10 juin 2026 à 00:10:00 UTC+2",,"euromillions mardi 9 juin 2026,euromillion 9 juin 2026,euromillion 5 juin 2026,resultat euromillion 9 juin 2026,euromillions,euromillion,resultat euromillion,euromillions 9 juin 2026,resultat euromillion 5 juin 2026,tirage euromillions,résultats euromillions,gagnant euromillions,resultat euromillions,euromillions 5 juin 2026,tirage euromillions 5 juin 2026,euromillion vendredi 5 juin 2026,tirage euromillions ce soir,tirage euromillions my million,euromillions vendredi,résultats euromillions aujourd'hui,tirage euromillion,tirage euromillions aujourd'hui,résultats de l'euromillions","https://trends.google.com/trends/explore?q=euromillions%20mardi%209%20juin%202026&geo=FR&hl=fr"
"greve sncf","100 k+","8 juin 2026 à 17:20:00 UTC+2",,"greve sncf,greve sncf 10 juin,greve sncf 10 juin 2026,transilien,grève sncf,greve,rer a,greve 10 juin","https://trends.google.com/trends/explore?q=greve%20sncf&geo=FR&hl=fr"
"angleterre – costa rica","5 k+","10 juin 2026 à 21:20:00 UTC+2",,"angleterre – costa rica,angleterre foot,angleterre costa rica","https://trends.google.com/trends/explore?q=angleterre%20%E2%80%93%20costa%20rica&geo=FR&hl=fr"
"amanda sthers","10 k+","10 juin 2026 à 06:20:00 UTC+2",,"amanda sthers","https://trends.google.com/trends/explore?q=amanda%20sthers&geo=FR&hl=fr"
"gaudi","10 k+","10 juin 2026 à 21:10:00 UTC+2",,"gaudi,sagrada familia,la sagrada familia","https://trends.google.com/trends/explore?q=gaudi&geo=FR&hl=fr"
"parasite","2 k+","10 juin 2026 à 20:20:00 UTC+2",,"parasite","https://trends.google.com/trends/explore?q=parasite&geo=FR&hl=fr"
"hôpital","5 k+","10 juin 2026 à 14:40:00 UTC+2",,"hôpital","https://trends.google.com/trends/explore?q=h%C3%B4pital&geo=FR&hl=fr"
"thomas goubin","20 k+","10 juin 2026 à 19:00:00 UTC+2",,"thomas goubin,coupe du monde,omar artan","https://trends.google.com/trends/explore?q=thomas%20goubin&geo=FR&hl=fr"
"100% frontières","5 k+","10 juin 2026 à 16:10:00 UTC+2",,"100% frontières","https://trends.google.com/trends/explore?q=100%25%20fronti%C3%A8res&geo=FR&hl=fr"
"requins","5 k+","10 juin 2026 à 21:10:00 UTC+2",,"requins,grand requin blanc","https://trends.google.com/trends/explore?q=requins&geo=FR&hl=fr"
"algerie bolivie","5 k+","10 juin 2026 à 00:00:00 UTC+2",,"algerie bolivie,équipe d'algérie de football","https://trends.google.com/trends/explore?q=algerie%20bolivie&geo=FR&hl=fr"
"shana loustau","5 k+","10 juin 2026 à 19:20:00 UTC+2",,"shana loustau","https://trends.google.com/trends/explore?q=shana%20loustau&geo=FR&hl=fr"
